358	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
359	61	213	0	0	da740e	1afc4	0	0	0	0	
360	4493	255	0	0	140eac2	0	0	0	0	0	
361	61	255	0	0	3453ad	fffe503c	0	0	0	0	
362	61	213	ff258bf2	fffe503c	0	0	0	0	0	0	
363	1481	255	febf153e	0	0	0	0	0	0	0	
364	1371	0	fe94bab3	ffff41a4	ff1998a5	ffff8dcb	0	0	0	0	
365	1536	0	fa99ba48	c20f	fcc0c4c7	74f6	0	0	0	0	
366	63	222	da740e	162f2	433767	0	0	0	0	0	
367	645	255	1313667	0	775027	0	0	0	0	0	
368	955	255	896395	0	df41d2	0	0	0	0	0	
369	1350	255	3cb7ca	0	ff03ec	0	0	0	0	0	
370	813	255	0	0	10624dd	0	0	0	0	0	
371	1350	255	ffc34836	0	ff03ec	0	0	0	0	0	
372	902	255	ff6e96b3	0	da1df3	0	0	0	0	0	
373	871	255	ff0b543d	0	5e1aae	0	0	0	0	0	
374	500	255	fef9db23	0	0	0	0	0	0	0	
375	871	255	ff0b543d	0	ffa1e552	0	0	0	0	0	
376	902	255	ff6e96b3	0	ff25e20d	0	0	0	0	0	
377	1350	255	ffc34836	0	ff00fc14	0	0	0	0	0	
378	813	255	0	0	fef9db23	0	0	0	0	0	
379	1350	255	3cb7ca	0	ff00fc14	0	0	0	0	0	
380	955	255	896395	0	ff20be2e	0	0	0	0	0	
381	851	255	fa8d3e	0	ffb2e83c	0	0	0	0	0	
382	438	255	10624dd	0	0	0	0	0	0	0	
383	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
384	1136	0	ff258bf2	ffff5122	0	0	0	0	0	0	
385	1136	0	fc1e1d40	aede	0	0	0	0	0	0	
386	650	255	12e7e77	0	64d4d2	0	0	0	0	0	
387	989	255	953709	0	d78862	0	0	0	0	0	
388	1337	255	310ce2	0	10183a0	0	0	0	0	0	
389	813	255	0	0	10624dd	0	0	0	0	0	
390	1337	255	ffcef31e	0	10183a0	0	0	0	0	0	
391	938	255	ff62b6ae	0	d1b717	0	0	0	0	0	
392	813	255	ff0e055b	0	64d31a	0	0	0	0	0	
393	563	255	fef9db23	0	0	0	0	0	0	0	
394	871	255	ff0b543d	0	ffa1e552	0	0	0	0	0	
395	902	255	ff6e96b3	0	ff25e20d	0	0	0	0	0	
396	1337	255	ffcef31e	0	fefe7c60	0	0	0	0	0	
397	813	255	0	0	fef9db23	0	0	0	0	0	
398	1337	255	310ce2	0	fefe7c60	0	0	0	0	0	
399	955	255	896395	0	ff20be2e	0	0	0	0	0	
400	851	255	fa8d3e	0	ffb2e83c	0	0	0	0	0	
401	500	255	10624dd	0	0	0	0	0	0	0	
402	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
403	938	0	ff258bf2	ffff45be	bf8c05	9192	0	0	0	0	
404	893	0	fc7ba59e	b390	2cd7806	ffff6e0d	0	0	0	0	
405	4750	255	fef9db23	0	0	0	0	0	0	0	
406	807	0	ff1469bf	ffff394f	ff258bf2	ffff477e	0	0	0	0	
407	850	0	fca2815d	c1c4	fce128d4	b36c	0	0	0	0	
408	63	222	da740e	162f2	433767	0	0	0	0	0	
409	645	255	1313667	0	775027	0	0	0	0	0	
410	955	255	896395	0	df41d2	0	0	0	0	0	
411	1337	255	310ce2	0	10183a0	0	0	0	0	0	
412	813	255	0	0	10624dd	0	0	0	0	0	
413	1337	255	ffcef31e	0	10183a0	0	0	0	0	0	
414	902	255	ff6e96b3	0	da1df3	0	0	0	0	0	
415	871	255	ff0b543d	0	5e1aae	0	0	0	0	0	
416	563	255	fef9db23	0	0	0	0	0	0	0	
417	813	255	ff0e055b	0	ff9b2ce6	0	0	0	0	0	
418	938	255	ff62b6ae	0	ff2e48e9	0	0	0	0	0	
419	1337	255	ffcef31e	0	fefe7c60	0	0	0	0	0	
420	813	255	0	0	fef9db23	0	0	0	0	0	
421	1337	255	310ce2	0	fefe7c60	0	0	0	0	0	
422	989	255	953709	0	ff28779e	0	0	0	0	0	
423	791	255	f8b10f	0	ffad1a50	0	0	0	0	0	
424	500	255	10624dd	0	0	0	0	0	0	0	
425	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
426	1040	0	ff258bf2	ffff4c39	0	0	0	0	0	0	
427	438	0	fc4bc4c7	91c4	0	0	0	0	0	0	
428	3688	255	fef9db23	0	0	0	0	0	0	0	
429	69	255	fef9db23	a40b	0	0	0	0	0	0	
430	5177	255	881641	0	119ab16	0	0	0	0	0	
431	2575	0	226f29c	b42b	bc81f7	3dec	0	0	0	0	
432	687	0	93b2f39	0	3406a88	0	0	0	0	0	
433	3021	0	9409b9b	ffff4a3f	32dfdab	ffffc23e	0	0	0	0	
434	5500	255	0	0	10624dd	0	0	0	0	0	
435	69	255	0	0	10624dd	ffff5bf5	0	0	0	0	
436	1168	0	ff9e84bd	ffffbde2	ff258bf2	ffff50f6	0	0	0	0	
437	1168	0	fe6d98ce	421e	fbf95792	af0a	0	0	0	0	
438	1813	255	fef9db23	0	0	0	0	0	0	0	
439	851	255	ff0572c2	0	4d17c4	0	0	0	0	0	
440	753	255	ff3c1236	0	ae28b4	0	0	0	0	0	
441	616	255	ff958882	0	ef8cdb	0	0	0	0	0	
442	851	255	ffb2e83c	0	fa8d3e	0	0	0	0	0	
443	1313	255	0	0	10624dd	0	0	0	0	0	
444	791	255	52e5b0	0	f8b10f	0	0	0	0	0	
445	616	255	6a777e	0	ef8cdb	0	0	0	0	0	
446	753	255	c3edca	0	ae28b4	0	0	0	0	0	
